0,1,2
"Certain foods can affect the results, so don’t eat these foods for 2-3 days before you take the test:",Can food affect a fecal occult blood test?,Colorectal Cancer
"You could notice blood from your rectum or in your stool after a colonoscopy. Most of the time, this happens because your doctor had to take a tissue sample or remove a polyp from your colon. Call your doctor right away if it continues or if there’s a lot of blood. Certain medications, such as vitamins and over-the-counter painkillers like aspirin, can increase your risk of bleeding. If you take them, be sure to tell your doctor before you go in for your procedure.",Is it normal to bleed after a colonoscopy?,Colorectal Cancer
"You can eat regularly after you leave the doctor’s office. You may have cramping or pass gas, but these are normal.",Can I eat after a colonoscopy?,Colorectal Cancer
Symptoms of colon cancer include:,What are symptoms of colon cancer?,Colorectal Cancer
"Make sure you understand the instructions you get before you go home. You may need to avoid certain medicines, such as blood thinners, for a while if your doctor did a biopsy or removed any polyps.",What problems could I have after a colonoscopy?,Colorectal Cancer
The entire procedure should take between 20 and 30 minutes. You’ll stay in a recovery room for about 30 minutes to an hour to wake up from the sedative.,How long does a colonoscopy take?,Colorectal Cancer
"In the U.S., 20% of people who find out they have colon cancer learn that it has spread to distant parts of their body. Cancer can also spread “locally,” through the lymph nodes and bloodstream. Colon cancer most often spreads to the liver, lungs, and peritoneum (the lining of the abdomen). This cancer can also reach the bones and other organs. If it spreads to another organ, that’s called metastatic, or stage IV, colon cancer.",Where can colon cancer spread to?,Colorectal Cancer
"Because the lungs receive blood flow from the rest of the body, cancer can travel there from other organs, including the colon. Cancer that has spread to the lungs often affects breathing. Symptoms include:",What are symptoms of colon cancer that has spread to the lungs?,Colorectal Cancer
"Almost all colon cancer starts out as polyps. They can grow slowly, over a decade or more. If you have tubular adenomas, they have about 4%-5% chance of becoming cancerous. The odds that villous adenomas will turn out to be dangerous are several times higher.",How likely are tubular adenomas to become cancerous?,Colorectal Cancer
"Sometimes cells in your body grow out of control, a process called mutation. Some of the abnormal cells can turn into polyps and other types of tumors. Tubular adenomas are often small -- less than 1/2 inch. Just like the name, they grow in a tube shape.",How do tubular adenomas form?,Colorectal Cancer
"You’ll be asleep during your exam, so you won’t feel anything. You may feel woozy or shaky when you wake up. In rare cases, some people can have serious reactions to the medications such as heart or breathing problems. But your doctor is trained to identify and treat these side effects. Tell your doctor if you’re allergic to any medicines or have ever had a bad reaction to anesthesia.",Can you have a bad reaction to anesthesia in a colonoscopy?,Colorectal Cancer
"During a colonoscopy, your doctor inserts a long, flexible tube with a lens into your rectum and along your colon. On a video monitor, any tubular adenomas will show up as a lump sticking out from your colon's lining.",How can a colonoscopy find tubular adenomas?,Colorectal Cancer
Colostomy irrigation is a way to manage bowel movements by emptying the colon at a scheduled time. The process involves putting water into the colon through the stoma. This causes the colon to empty.,What is a colostomy irrigation?,Colorectal Cancer
You may need to take antibiotics before the colonoscopy if you:,When do you need to take antibiotics before a colonoscopy?,Colorectal Cancer
"The stoma may bleed a little bit when you clean it. Call your doctor if the bleeding doesn't stop, or if you notice blood inside your pouch.",What should I do if my stoma bleeds?,Colorectal Cancer
You’re more likely to get tubular adenomas if you are:,Who is more likely to get tubular adenomas?,Colorectal Cancer
"The liver removes toxic substances from the body and produces bile, a fluid used in digestion. Colon cancer can spread to the liver through a blood vessel that connects the intestines and liver. Many people don’t have symptoms at first, if colon cancer is in their liver. If they do have symptoms, they may be vague and can include:",What are symptoms of colon cancer that has spread to the liver?,Colorectal Cancer
"Cancer cells that break off from the main tumor can get into the lining of the abdomen, called the peritoneum.",What is peritoneal cancer?,Colorectal Cancer
"Biopsy results can take one or two days, and sometimes longer. The pathologist might need extra time to get a second opinion or to look at another tissue sample.",How long do biopsy results for colon cancer take?,Colorectal Cancer
"Many people with colon cancer don’t have symptoms. The disease, at any stage, may cause:",What are symptoms of stage IV colon cancer?,Colorectal Cancer
"If you’ve had tubular or any other types of adenomas, you’ll need to have a follow-up colonoscopy to make sure they don’t return. Usually, you’ll need a repeat procedure every 3-5 years. But you may need one sooner if you had a lot of polyps, if they were big, or if your doctor was not able to remove them all.",What follow-up will you need if you've had a tubular adenoma?,Colorectal Cancer
Symptoms of peritoneal cancer include:,What are symptoms of colon cancer that has spread to the lining of the abdomen?,Colorectal Cancer
"If you have a history of polyps in your colon, you’re more likely to get colon cancer. Screening is your best way to prevent that. Doctors generally recommend getting your first colonoscopy at age 50. You may need to start at age 40 or earlier if:",Do colon polyps raise your risk of colon cancer?,Colorectal Cancer
"Tubular adenomas are the most common types of colon polyps doctors remove during a colonoscopy. This type of polyp can become cancerous, and that danger goes up the bigger the polyps get.",What is a tubular adenoma?,Colorectal Cancer
Steroids are also called corticosteroids. The ones most often used for Crohn’s include:,What types of steroids treat Crohn's disease?,Crohns Disease
"When you have Crohn's disease, you have two main goals:",What are the main goals if you have Crohn's disease?,Crohns Disease
"Crohn’s disease is a type of inflammatory bowel disease. That means that your body’s immune system attacks and damages your bowel or gastrointestinal system. It’s a chronic, meaning long-term, condition that gets in the way of your body’s ability to take in important nutrients. It can also affect the way you digest food and get rid of waste. Crohn’s can involve any part of your gut. But the ileum, the last part of your small intestine, is most commonly affected.",How does Crohn's disease affect your body?,Crohns Disease
"As a general rule, the best foods to stick to during flare-ups are bland, low fiber, and low fat. Some foods that may fit the bill are:",What should you eat during a Crohn's disease flare-up?,Crohns Disease
Over-the-counter medicines don’t need a prescription. These may help ease some of your symptoms. But some may also make them worse or interfere with your prescription medicines.,What kinds of OTC medications may ease symptoms of Crohn's disease?,Crohns Disease
There are four main 5-ASA drugs:,What are the types of 5-ASA drugs for Crohn's disease?,Crohns Disease
CT scanning uses computer-aided X-ray techniques to produce more detailed images of the abdomen and pelvis than can be seen in traditional X-rays. CT scans can help detect abscesses that might not show up on other X-rays. Abscesses are small pockets of infection.,How does a CT scan help with diagnosing Crohn's disease?,Crohns Disease
What are the most common side effects?,What are the side effects of certolizumab pegol (Cimzia) for Crohn's disease?,Crohns Disease
There are four main 5-aminosalicylic acid drugs:,What are the four main 5-aminosalicylic acid drugs for Crohn's disease?,Crohns Disease
"There isn't any one test that can tell you whether or not you have Crohn's disease. And its symptoms are the same as symptoms for other health problems. So, to make a diagnosis of Crohn's, you'll probably go through a combination of exams, lab tests, and imaging studies to rule out other health problems that have similar symptoms and determine which part of your digestive tract is affected. Lab tests check for signs of infection, inflammation, internal bleeding, and low levels of substances such as iron, protein, or minerals. X-rays and other images can help identify the severity and location of the problem.",How do you know if you have Crohn's disease?,Crohns Disease
"Colon strictures are areas of narrowing in your large intestine, or bowel. A colon stricture slows or stops waste from passing through.",What are the signs and symptoms of colon strictures?,Crohns Disease
"A colon stricture is a narrowing in parts of your large intestine, or bowel. This is where your body converts digested food into poop. A colon stricture slows or stops that waste from passing through.",What are the types of colon stricture?,Crohns Disease
This drug reduces symptoms of moderate to severe Crohn’s disease. It also helps to keep them from returning. You get it by a shot under the skin.,How is certolizumab pegol (Cimzia) used to treat Crohn's disease?,Crohns Disease
Some foods can be hard to digest and may make the situation worse. You may want to avoid:,What foods should you avoid during a Crohn's disease flare-up?,Crohns Disease
"Crohn's disease may be treated with drugs that stop the immune system from causing inflammation. These drugs, called immunomodulators, change the way the immune system behaves. Immunosuppressants decrease the activity of the immune system, while immunostimulators increase the activity. Immunosuppressants prescribed for Crohn's disease include:",What immunosuppressants are used to treat Crohn's disease?,Crohns Disease
"Your immune system defends again invaders with inflammation. For some reason, people with Crohn's disease have an immune system that reacts inappropriately. Sometimes your body attacks helpful microbes. Or the inflammatory response just won�t stop. Either way, over time, this chronic inflammation in the digestive system can result in ulcers and other injuries to the intestines.",How does the immune system in a person with Crohn's disease work?,Crohns Disease
A blood clot that forms in or around your heart may cause a heart attack. Watch out for symptoms like:,How can you tell if a blood clot is forming in your heart?,DVT
"When a blood clot forms in one of the deep veins in your arm or leg, way beneath your skin's surface, it could be something called a deep vein thrombosis (DVT). That's dangerous because the clot could travel to your heart or lungs. You're more likely to get DVT if you haven't moved around for a long time, say after surgery or during a long plane trip. Get medical help right away if you notice any of these symptoms:",How can you tell if a blood clot is forming in your arms and legs?,DVT
Sometimes a clot can leave behind scars and other damage that can cause problems.,What are the long-term effects of blood clots?,DVT
It means you’ll need more tests to see whether you have a blood clot. This test can’t confirm that you have any conditions. It can only help rule them out.,What does a high result from a D-Dimer test mean?,DVT
"Peripheral artery disease (PAD) isn’t a medical emergency, but lack of blood flow to your legs can cause serious problems like gangrene. That’s when the tissue in your leg dies.",What are some of the more serious risks with peripheral artery disease (PAD)?,DVT
Deep vein thrombosis (DVT) normally affects just one leg. Symptoms include:,What are some symptoms of deep vein thrombosis?,DVT
About half of the people who get deep vein thrombosis won’t have any signs. You may not know you have a clot unless a piece of it breaks off and travels to your lung. That’s a medical emergency. Call 911 right away if you have:,When is deep vein thrombosis a medical emergency?,DVT
"If you have deep vein thrombosis (DVT), you may notice the following:",What are the symptoms of deep vein thrombosis (DVT)?,DVT
"Superficial venous thrombosis is a blood clot that forms in a vein close to the surface of the skin. They don’t normally break loose and travel through the bloodstream, but they can be painful and need treatment.",What is superficial venous thrombosis?,DVT
"Studies show that compression stockings have little to no effect on it, but some people swear by them. Maybe thinking they have an edge gives them one. The evidence for faster recovery is better, but not enough to make a difference for weekend warriors.",Do compression socks help athletic performance?,DVT
"Superficial thrombophlebitis happens when a blood clot forms in a vein just under your skin. If you have it, you may notice some or all of the following:",What is superficial thrombophlebitis?,DVT
"Anticoagulants are medicines that keep your blood from clotting, or turning into solid clumps of cells that stick together. Most come in pill form. Some popular ones include:",What are anticoagulants?,DVT
"About 2 million to 3 million people take blood thinners every year. You may need them if you’ve already had a heart attack or a stroke, since they can lower your risk of having a second one.",Who needs to use blood thinners?,DVT
"If one of your legs is red, swollen, painful, or warm, get it checked out right away. A number of conditions can cause these symptoms. Some of them are harmless. Others are much more serious.","What should I do if my leg is red, swollen, painful, or warm?",DVT
"You can get deep vein thrombosis (DVT) at any age, and several things can cause it. Some of them include:",What causes deep vein thrombosis (DVT)?,DVT
"People wear compression stockings for comfort, to do better in sports, and to help prevent serious medical conditions.",Why do people wear compression stockings?,DVT
"Some athletes, including runners, basketball players, and triathletes, wear compression socks and sleeves on their legs and arms. The theory is that, during activity, better blood flow will help get oxygen to their muscles, and the support will help prevent tissue damage -- and afterward, the beefed-up blood and lymph circulation will help their muscles recover quickly. They won't be as sore, and they won't cramp as much.",How can you wear compression stockings?,DVT
Smooth out the stockings so they lie flat against your skin. Avoid bunching.,How do you wear compression stockings?,DVT
"The pressure these stockings put on your legs helps your blood vessels work better. The arteries that take oxygen-rich blood to your muscles can relax, so blood flows freely. The veins get a boost pushing blood back to your heart.",What do compression stockings do?,DVT
"Socks and sleeves come in different lengths to cover different parts of your body. For deep vein thrombosis (DVT), most stockings go to just below the knee, but you can get thigh-highs and tights, too.",What are the different kinds of compression stockings?,DVT
"You get peripheral artery disease (PAD) when the arteries in your legs become hard and narrow. In PAD, plaque builds up in the arteries. Over time, it can block blood flow to your legs.",What is peripheral artery disease (PAD)?,DVT
"It’s not something you feel instantly. A DVT or pulmonary embolism can take weeks or months to totally dissolve. Even a surface clot, which is a very minor issue, can take weeks to go away.",How long does it take to recover from blood clot?,DVT
"A blood clot in your kidneys can keep them from removing waste from your body. That can cause high blood pressure or even kidney failure. This is dangerous, so look out for these symptoms:",How can you tell if a blood clot is forming in your kidney?,DVT
"The risk of side effects from turmeric and its active ingredient, curcumin, is low. But there are some things to watch out for if you take a supplement:",Does curcumin have side effects?,Depression
"When taken correctly, antidepressants will not change your personality. Rarely, people feel apathy or loss of emotions while on certain antidepressants. When this happens, lowering the dose or switching to a different antidepressant may help.",Do antidepressants change your personality?,Depression
"Anxiety is a normal reaction to stress, but when it takes on a life of its own it becomes an unhealthy, generalized reaction that affects the body and mind. Symptoms can include rapid heartbeat, aches and pains, and muscle tension.",What is anxiety?,Depression
"If left untreated, some depressive disorders can last years.",How long can depression last?,Depression
Everyone is different when it comes to seeing improvements on SSRIs. But people typically start noticing positive changes after about 4 to 6 weeks of treatment. It can take several months to feel the full effect of the medication.,How long do SSRIs take to work?,Depression
"Hormones are substances produced by your endocrine glands that have a tremendous effect on bodily processes. They affect growth and development, mood, sexual function, reproduction, and metabolism.",What are hormones?,Depression
"Situational depression isn't a clinical term in psychiatry, but you can have a depressed mood when you're having trouble managing a stressful event in your life, such as a death in your family, a divorce, or losing your job. Your doctor may call this ""stress response syndrome.""",What is 'situational' depression?,Depression
"Mania is a high state that happens when you have a mental illness called bipolar disorder. Your mood can swing from day to day or over weeks or months from the lows of depression to the highs of mania. During the mania stage, you may feel good and full of energy. Mania and bipolar disorder are serious medical issue that require treatment.",What is mania?,Depression
"Depression can run in families. When it does, depression usually comes on between ages 15 and 30. A family link to depression is much more common in women. But genetic or hereditary factors don’t always explain why someone gets depression.",Is depression hereditary?,Depression
"If your symptoms of depression are causing problems with relationships, work, or your family -- and there isn't a clear solution -- you should see a professional. Talking with a mental health counselor or doctor can help prevent things from getting worse, especially if your symptoms stay for any length of time. It's important to understand that feeling depressed doesn't mean you have depression. Depression involves not only changes in mood, but also changes in sleep, energy, appetite, concentration, and motivation. If you have physical symptoms like these and find yourself feeling depressed much of the time for days or weeks, see your doctor.",When should I seek help for depression?,Depression
"Behavioral activation is a goal of cognitive behavioral therapy (CBT) that aims to help people engage more often in enjoyable activities and improve their problem-solving skills. In CBT, the therapist helps you schedule enjoyable experiences, often with other people in your life. Part of the process is deciding how to get past any obstacles that stand in the way of enjoyment.",What is behavioral activation in cognitive behavioral therapy?,Depression
Cognitive restructuring is the process in cognitive behavioral therapy of finding and changing inaccurate negative thoughts that can lead to depression.,What is cognitive restructuring in cognitive behavioral therapy?,Depression
"Monoamine oxidase inhibitors (MAOIs) include selegiline (Emsam), isocarboxazid (Marplan), phenelzine (Nardil), and tranylcypromine (Parnate). These drugs seem to work a little differently. Monoamine oxidase is a natural enzyme that breaks down serotonin, epinephrine, and dopamine. MAOIs block the effects of this enzyme. As a result, the levels of those neurotransmitters might get a boost. The downside is that MAOIs also prevent the body's ability to break down other medicines metabolized by this enzyme (such as Sudafed, or stimulants) -- raising the risk for high blood pressure -- as well as an amino acid called tyrosine, which is found in certain foods like aged meats and cheeses. MAOIs also shouldn't be combined with other medicines that can raise serotonin (such as certain migraine medicines, or other antidepressants), because that can cause a buildup of excessive serotonin (called ""serotonin syndrome""), which could be life threatening.",How are monoamine oxidase inhibitors used as antidepressants?,Depression
"Dysthymia, sometimes referred to as mild, chronic depression, is less severe and has fewer symptoms than major depression. With dysthymia, the depression symptoms can linger for a long period of time, often two years or longer. Those who suffer from dysthymia can also experience periods of major depression --sometimes called ""double depression."" In modern diagnostic classification systems, dysthymia and chronic depression are now both called ""persistent depressive disorders.""",What is dysthymia?,Depression
"To help with constipation that's a side effect of antidepressants, eat plenty of high-fiber foods, or take a fiber supplement. Stool softeners can help, too.",What can help you manage constipation caused by antidepressants?,Depression
"To help with blurred vision that is a side effect of antidepressants, ask your doctor about special eye drops that can moisten your eyes.",What can help you manage blurred vision caused by antidepressants?,Depression
�Sadness or depressed mood most of the day or almost every day,What are the signs and symptoms of dysthymia?,Depression
"People with diabetic retinopathy need to get dilated eye exams at least once a year. If DME appears or the disease gets to an advanced stage, it can be treated with a combination of injections, laser surgery, and steroid drugs.",Is diabetic retinopathy treatable?,Diabetes
"If diabetic retinopathy causes fluid buildup and swelling in a part of your retina called the macula, you can get dDiabetic macular edema (DME) , or swelling in part of your retina called the macula, is a serious complication of diabetic retinopathy. A healthy macula gives you sharp vision straight in front of you. This is what you need to drive, read, or see other people's faces. If your diabetic retinopathy causes fluid build-up and swelling in your macula, you can get DME.",What are the complications of diabetic retinopathy?,Diabetes
"In the later stages, it can cause permanent loss of vision.",Can diabetic retinopathy cause vision loss?,Diabetes
"Your doctor will do a diabetic eye screening that includes a measure of distance vision, pupil dilation, and an exam of the retina and optic nerve, a test of the pressure inside the eye, and an OCT scan to capture images of the inner eye tissues.",How does a doctor check for diabetic retinopathy?,Diabetes
Stage 1: Mild nonproliferative retinopathy,What are the stages of diabetic retinopathy?,Diabetes
Work with your doctor to keep your blood sugar and blood pressure at good levels. This will help to slow down diabetic retinopathy or may even stop it from happening.,Can you prevent diabetic retinopathy?,Diabetes
"Over time, high blood sugar can damage the tiny blood vessels in your eyes. That can lead to a condition called diabetic retinopathy. High blood sugar can also lead to cataracts and glaucoma, which happen earlier and more often when you have diabetes.",Can diabetes cause problems in your eyes?,Diabetes
"CBD comes in many forms, from liquid drops and capsules you swallow, to vapes. But the FDA doesn't regulate most of those products. The only FDA-approved form of CBD oil is Epidiolex, a prescription drug that treats two types of epilepsy. So it's hard to be sure that other CBD products are what they say they are, even if the label looks ""official.""",Is CBD safe?,Diabetes
"This is a dangerous condition caused by the buildup of lactic acid, a chemical that your muscles and red blood cells make naturally. When it happens while taking metformin, it's called MALA (metformin-associated lactic acidosis). The problem is extremely rare, happening in a tiny fraction of people who take the drug. It's more likely to happen in people whose kidneys don't work properly and can't clear metformin from the body.",What is metformin-associated lactic acidosis?,Diabetes
"If you have any form of diabetes -- type 1, type 2, or gestational -- you may get diabetic retinopathy. Your chance goes up the longer you have diabetes. As many as 45%lmost half of Americans diagnosed with diabetes have some stage of diabetic retinopathy. Only about half of them know they have this disease. Women who have diabetes or get it during pregnancy may have fast-onset or progressive diabetic retinopathy.",What are the risk factors for diabetic retinopathy?,Diabetes
"Quinoa is a nutritional powerhouse, packed with manganese, copper, and other vitamins and minerals.",Is quinoa a low-glycemic index food?,Diabetes
"If your doctor says you have a high anion gap, you may have a higher than normal amount of acid in your blood. The doctor may call this ""acidosis."" It can be a symptom of conditions like:",What does it mean if a blood test shows you have a high anion gap?,Diabetes
"A nuclear stress test helps to determine which parts of the heart are healthy and work normally, and which aren't. You'll get a very small and harmless amount of radioactive substance injected into you to help with the imaging. The test makes pictures of the blood flow to your heart muscle both at rest and after exercise.",What is a nuclear stress test?,Diabetes
"Peripheral neuropathy is nerve damage caused by chronically high blood sugar and diabetes. It leads to numbness, loss of sensation, and sometimes pain in your feet, legs, or hands. It is the most common complication of diabetes.",What is diabetic peripheral neuropathy?,Diabetes
"If you keep your blood sugar under control, you can slow any damage to the tiny blood vessels in your eyes. Several times a year, you should have an A1c blood test. It shows your blood sugar levels over the past 2 or 3 months. Your result should be around 7% or less.",Why does keeping your blood sugar under control when you have diabetes help your eye health?,Diabetes
An anion gap test tells you how much acid is in your blood. Acid levels that are higher or lower than normal can tip your doctor off to a health problem -- and help them find the right treatment for you.,What is an anion gap test?,Diabetes
"An eye muscle function test checks for any problems you might have with the muscles around your eyeballs. Your doctor moves an object, like a pen, around, asking you to follow it with just your eyes. Because of the risk of eye problems with uncontrolled diabetes, keep up with your recommended eye exams.",What is an eye muscle function test for people with diabetes?,Diabetes
"Sorbitol is a fruit-derived sugar that the body uses slowly. It is a sweetener used in diet foods; it's called a ""nutritive sweetener"" because it has four calories in every gram, just like table sugar and starch. These compounds are used in many foods labeled as ''sugar-free'' and ''no sugar added'' and can raise your blood glucose. Keep in mind that because a food is labeled ''sugar-free,'' it doesn't necessarily mean carbohydrate-free.",What is sorbitol?,Diabetes
Folate is the generic name for a type of B vitamin. It’s found naturally in foods as folate. Folic acid is the manmade version sold as supplements and added to fortified foods. Folate and folic acid have the same effects.,What is the difference between folate and folic acid?,Diet & Weight Management
"If you have vitamin B12 deficiency, you could become anemic. A mild deficiency may cause no symptoms, but if untreated, it may lead to symptoms such as:",What are the symptoms of vitamin B12 deficiency?,Diet & Weight Management
"You'll need shots of this vitamin at first. You may need to keep getting these shots, take high doses of a supplement, or get it nasally after that.",How is a vitamin B12 deficiency treated?,Diet & Weight Management
"Most people can prevent vitamin B12 deficiency by eating enough meat, poultry, seafood, dairy products, and eggs.",How can I prevent vitamin B12 deficiency?,Diet & Weight Management
"Intravenous or injected magnesium is used to treat certain conditions, such as eclampsia during pregnancy and severe asthma attacks.",What is intravenous or injected magnesium used for?,Diet & Weight Management
"Magnesium supplements can cause nausea, cramps, and diarrhea. They often cause softening of stool.",Are there risks from taking magnesium?,Diet & Weight Management
"Vegetable choices include spinach, chard, chicory, beet greens, green salad, tomatoes, celery, fennel, onions, red radishes, cucumbers, asparagus, and cabbage.",What are the vegetable options for the hCG diet for weight loss?,Diet & Weight Management
These are some of the prescription-strength omega-3 fatty acids that are available:,What prescription omega-3 fatty acids are available?,Diet & Weight Management
"Excessive use of magnesium supplements can be toxic. In addition to what you get from food, the highest dose you should take of magnesium supplements is:",What is the highest dose of magnesium that I can take safely?,Diet & Weight Management
"Your doctor may have you get more MCT if you have trouble digesting other kinds of fat or you struggle to get the nutrients you need. This can happen if you take some medications, or you have:",Can MCT oil help my digestion?,Diet & Weight Management
"The side effects of using black cohosh include headaches and upset stomach but there are many others. Side effects may be more likely to happen at high doses. There have been some people who may have developed liver problems, the specifics of which are still being investigated. So if you have pre-existing liver problems, or are taking any other medication/substance that affects the liver, don't take black cohosh or talk to your doctor before using.",What are the side effects of taking black cohosh?,Diet & Weight Management
"For menopausal symptoms, the dose of black cohosh used in studies is 20-40 milligram tablets of a standardized extract taken twice a day. More than 900 milligrams a day of black cohosh is considered an overdose. Directions for taking black cohosh in other forms will vary. Some experts say no one should take black cohosh for more than 6 months at a time.",How much black cohosh should you take?,Diet & Weight Management
"Given the lack of evidence about its safety, bee pollen is not recommended for children or for women who are pregnant or breastfeeding.",Who shouldn't take bee pollen?,Diet & Weight Management
"Generally, bee pollen seems fairly safe. But it could cause serious reactions in people with allergies to honey, pollen, or bee stings. Symptoms could include itching, redness, swelling, hives, shortness of breath, and anaphylactic shock. If you have a medical condition, check with your doctor before you start using bee pollen. It might not be safe for people with allergic asthma, blood disorders, or liver disease.",What are the risks of taking bee pollen?,Diet & Weight Management
"Since bee pollen is an unproven treatment, there is no standard dose. Some people use 1/8 to 1/4 teaspoon of bee pollen granules daily. They gradually increase the dose up to 6 teaspoons. Ask your doctor for advice.",How much bee pollen should you take?,Diet & Weight Management
"Sedentary means a lifestyle that includes light physical activity associated with typical activities of daily living. Moderately active consists of walking 1.5 to 3 miles daily at a pace of 3 to 4 miles per hour (or the equivalent). An active person walks more than 3 miles daily at the same pace, or equivalent exercise.","What's the difference between a sedentary lifestyle, a moderately active lifestyle and an active lifestyle?",Diet & Weight Management
"Yes. But you'll probably find it flat or bland tasting. That's because it's stripped of important minerals like calcium, sodium, and magnesium that give tap water its familiar flavor.",Is it safe to drink distilled water?,Diet & Weight Management
"It's a high-fiber diet made up of fruits, vegetables, proteins, and whole grains. But you have to give up refined sugar and flour.",What is the Sugar Busters! Diet?,Diet & Weight Management
"For inguinal, femoral, umbilical, and incisional hernias, symptoms may include:",What are the symptoms of a hernia?,Digestive Disorders
Signs of bowel obstruction depend on how bad the obstruction is. But it almost always comes with abdominal pain and cramping. Other possible signs are:,What are the most common signs of bowel obstruction?,Digestive Disorders
"Your doctor may give you a barium enema to check if you have a bowel obstruction. In this test, a special liquid that contains barium (a whitish-silver metal) will be inserted into your rectum. It will spread into your bowels and appear on an X-ray as a bright area. If there’s a blocked area, the barium may show it.",Will a barium enema help determine if I have a bowel obstruction?,Digestive Disorders
"If fecal material sits in the colon, the harder the stool becomes and the more difficult it is to pass. This condition is known as constipation. A normal stool should not be either unusually hard or soft, and you shouldn't have to strain unreasonably to pass it.",What is constipation?,Digestive Disorders
"Symptoms of appendicitis are a lot like other, less urgent conditions, such as bladder infection, colitis, Crohn's disease, gastritis, gastroenteritis, and ovary problems.",Which conditions have similar symptoms with appendicitis?,Digestive Disorders
Medications that can cause constipation include:,Which medications can cause constipation?,Digestive Disorders
"Dehydration is one of the most common causes of chronic constipation. The food you eat makes its way from your stomach to the large intestine, or colon. If you don't have enough water in your body already -- if you're dehydrated -- the large intestine soaks up water from your food waste. This makes hard stools that are difficult to pass.  There are other causes of chronic constipation, including:",What causes chronic constipation?,Digestive Disorders
"No. Extra fluids help keep the stool soft and easy to pass, but drinking more liquids does not cure constipation.",Will drinking more fluids cure constipation?,Digestive Disorders
"In a procedure called coagulation or cauterization, your doctor uses an electric probe, a laser beam, or an infrared light tp make a tiny burn to remove tissue and painlessly seal the end of the hemorrhoid, causing it to close off and shrink. This works best for prolapsed hemorrhoids.",How can coagulation or cauterization be used to treat hemorrhoids?,Digestive Disorders
"Warm (but not hot) ""sitz baths"" are a time-honored therapy: Sit in about 3 inches of warm water for 15 minutes or so, several times a day. This helps reduce swelling in the area and relaxes your clenching sphincter muscle. It's especially good after pooping.","Can ""sitz baths"" help with hemorrhoids?",Digestive Disorders
Put a little petroleum jelly just inside your anus to make pooping hurt less. Don't force it!,Can petroleum jelly help with hemorrhoids?,Digestive Disorders
"Bile can be part of the problem. Your body needs bile, but if it has too much cholesterol in it, that makes gallstones more likely. It can also happen if your gallbladder can’t empty properly. Pigment stones are more common in people with certain medical conditions, such as cirrhosis (a liver disease) or blood diseases such as sickle cell anemia.",What causes gallstones?,Digestive Disorders
"Chronic pancreatitis can be difficult to treat. Doctors will try to relieve the pain, improve the nutrition problems it caused, and give pancreatic enzymes and insulin. A low-fat diet may also help.",How is chronic pancreatitis treated?,Digestive Disorders
Diarrhea is when your poop is loose and watery. Call your doctor immediately if you have:,When should I call my doctor about my diarrhea?,Digestive Disorders
Internal hemorrhoids are far enough inside the rectum that you can't usually see or feel them. They don't generally hurt because you have few pain-sensing nerves there. Bleeding may be the only sign of them.,What are internal hemorrhoids?,Digestive Disorders
Some antibiotics target C. diff. They include:,How is a C. diff infection treated?,Digestive Disorders
"Because most cases of pancreatitis are caused by alcohol abuse, the best way to prevent it is to drink responsibly, or not at all.",Can pancreatitis be prevented?,Digestive Disorders
"It's very common and is considered safe. However, any surgery has some risks including:",What are the risks of a hemorrhoidectomy?,Digestive Disorders
The most common symptoms of an enlarged spleen:,What are the symptoms of an enlarged spleen?,Digestive Disorders
"If the hiatal hernia is in danger of becoming constricted or strangulated, you may need surgery to ease the hernia -- or, more simply, put things back where they belong.",When do I need surgery for hiatal hernia?,Digestive Disorders
"Peptic ulcers are open sores in the lining of the stomach or duodenum, the upper end of the small intestine, which can lead to bloody stools. Many peptic ulcers are caused by infection with a bacterium called Helicobacter pylori (H. pylori). Long-term use or high doses of anti-inflammatory drugs such as aspirin, ibuprofen, and naproxen can also cause ulcers.",How can peptic ulcers cause blood in the stool?,Digestive Disorders
"If you've been diagnosed with a hiatal hernia and you have severe pain in the chest or abdomen, become nauseated, start vomiting, or you can't have a bowel movement or pass gas, you may have a strangulated hernia or an obstruction, which are medical emergencies. Call your doctor right away.",When should I see my doctor about hiatal hernia?,Digestive Disorders
"To diagnose acute pancreatitis, doctors measure levels in the blood of two digestive enzymes, amylase and lipase. High levels of these two enzymes could mean you have acute pancreatitis.",How is acute pancreatitis diagnosed?,Digestive Disorders
"A blood clot can form in an external hemorrhoid, turning it purple or blue. It can hurt and itch a lot and could bleed. When the clot dissolves, you may still have a bit of skin left over, which could get irritated.",Can hemorrhoids cause blood clots?,Digestive Disorders
"You’ll start by drinking only clear liquids, such as water, broth, non-pulpy juices, ice pops, and plain tea or coffee. As you start to feel better, you can add low-fiber foods such as eggs, yogurt, and cheese, and white rice and pasta. These foods are gentle on your digestive system.",What is a diverticulitis diet?,Digestive Disorders
"Most worms that infect dogs -- including roundworms, tapeworms, hookworms, and whipworms -- live in the intestines. That’s the first place for your vet will look.",How does the vet diagnose your dog with worms?,Dogs
"Your doctor will examine the injury to see whether the bite was deep enough to damage muscles, tendons, nerves, or bones. Then they'll thoroughly clean the wound to remove any dirt or bacteria, and dead tissue.",How will the doctor treat a dog bite?,Dogs
