question,answer,tags,QA
i had a thyroidectomy. does that mean my parathyroid was removed? i have severe osteoporosis -3. 5 t score. i am looking for causes.,no. when i had a total thyroidectomy 44 years ago surgeon told me he been very careful to avoid damage to the parathyroid. he said he thought permanent loss of the parathyroid would be worse than thyroid cancer which can be treated with surgery and iodine131 ablation.,"['thyroidectomy', 'osteoporosis']",wmd
can osteoarthritis be prevented?,"spontaneous osteoarthritis is to a major degree a result of inherited tendencies. we inherit the tendency to develop osteoarthritis from our parents and their parents etc. therefore prevention is not technically possible. obesity has long been known to be a risk factor for osteoarthritis of the knee. however by maintaining optimal weight we can minimize the risk of developing and worsening osteoarthritis of the knees. we can also ""prevent"" osteoarthritis by minimizing the risks for injury of joints. for example avoiding high risk sports after certain ages etc.",['osteoarthritis'],wmd
is it safe to give a child under 2yo benadryl he has eczma and his itching is out of controll used several otc eczma crm,"oral benadryl is safe for younger children but i do not know the exact age when you say ""under two years old"" (a newborn is under two years old! ). there are other prescription medications that are often used for eczema in younger children to control the itching so before given benadryl it is best to check with his pediatrician first  someone who knows your child the severity of his eczema and of course his age/weight. control itching is extremely important for eczema patients.",['atopic dermatitis'],wmd
how long does zyrtec-d stay in your system?,zyrtec-d is available as a 12-hour formulation and should relieve your allergy symptoms and congestion for 12 hours.,[],wmd
while on birth control i took an antibiotic and was late taking birth control pills. could i be pregnant if i had sex?,the risk of pregnancy in using routine antibiotics and birth control pills (bcps) is very low. in fact antifungals (e. g. ketoconazole) or macrolide antibiotics (e. g. erythromycin azythromycin biaxin) actually increased blood levels of estradiolnot decrease them. being late taking some bcps can also increase [the] risk of pregnancy but the risk is not large unless you entirely miss for two to three days. unprotected sex on active pills does not increase risk unless you had just completely missed several days of active pills. . i would urge you to do a reliable pregnancy test. for the most accurate answer you can do one test on the first day of your next pack. .,"['sexual intercourse', 'pregnancy', 'birth control', 'antibiotic', 'birth control pill']",wmd
reddish and yellowish kind of substance coming from my vagina?,hi. there seem to be a similar substance that may have still remained inside your uterus causing incomplete discharge of the substance. it may be blood clots mixed with endometrial substance. u should get a usg abdomen done to see the remnants in the uterus. take anti spasmodics for the pain till then consult a gynecologist if the symptoms are severe. thanks,"['reddish and yellowish kind of substance', 'vaginal discharge']",qd
what is the best way to stop hormone replacement therapy?,"once you and your clinician have decided that it's time to stop what's the best approach? the simple answer is that we don't know. formal studies to evaluate this question have failed to show that either going cold turkey or tapering off is better. so the choice is really yours. the important thing is to know that women in general have about a 50/50 chance of experiencing hot flashes again (although maybe not as severe as initially) after stopping. some studies suggest that symptoms peak within 3 months after stopping hormones. after you stop take some time to evaluate how you feel before beginning any new medication so you don't get the two effects confused. there are a couple of other things to keep an eye on once you've stopped ht. if you develop vaginal dryness or recurrent urinary tract infections ask your clinician about vaginal estrogens. nonhormonal lubricants and moisturizers can also help with dryness. and you might want to ask about a bone density test. we know that women who stop ht often lose bone. depending on your bone density score and risk profile you might be a candidate for an osteoporosis drug (bone-sparing). at any rate discuss calcium and vitamin d supplements weight-bearing exercise and fall prevention with your clinician. another good idea is to have your cholesterol rechecked in about 3 months after stopping ht because hormones can affect ""lipid levels"" (both good and bad). and if you're taking a thyroid medication for an underactive thyroid your dose might need to be adjusted. thanks for your reply!",['hormone replacement therapy'],wmd
i have a sister who is not 69 years old and not eligible for medicare because she doesn't have the work credits. her income is approximately $17 000 a year. what type of low-cost medical insurance will she be eligible for?,even people without enough work credits are eligible for medicare. they just have to pay for part a whereas those with about 10 years of work history don't because they've already paid into the system via taxes. there are medicare savings programs that help people with low incomes cover the cost of medicare. check this page on medicare. gov for more information.,[],wmd
"can you get pregnant without having sex? . my liltte cousins swears up and down that she didnt not have sex they were just ""messing"" around. but yet she became pregnant and has now had the baby. but she is still insisting that she and the boyfriend did not phyiscal have intercourse. can you talk about this please so i can tell her she is not fooling anyone!","unless a star rose in the east your little cousin is not telling the whole truth. if that ""messing around"" included any penetration or ejaculation it was certainly sufficient to cause of a pregnancy. unless she inserted a turkey basting device filled with sperm or secretly had in vitro she is lying or certainly in serious denial. ask her how else sperm may have made it into her vagina up her fallopian tubes and greeted a waiting egg? sperm does not walk across the carpet swim up a leg circumvent the underwear and seek out an egg all by itself. let her tell her story. you know it is a bunch of baloney but now that she has a baby it would be better to focus on this new little life than that little lie. there could be some truth to it. here is an article on teen sex & pregnancy myths that explain about pre-ejaculate. i hope this helps. the webmd answers staff i be leave you can i no because i have them and my do true told my mom i was","['sexual intercourse', 'pregnancy', 'baby']",wmd
my daughters blood sugar level is 520 what should i do?,hi. 520 sugar is too much. and should be brought down immediately. if possible admit her to a hospital and get her levels to as low as possible by insulin drips. atleast 250-300 should be achieved. later on she can take tablets to reduce the remaining sugar levels. but if she is not diabetic then you need to find out the reason for such high sugar level raise. thanks,['diabetes'],qd
can you take flonase and allegra together? . my doctor prescribed flonase and recommended allegra but i'm not sure if i can take them together.,yes you can take them together. flonase is a steroid nasal spray and allegra is an antihistamine.,[],wmd
52 yr. old man w/ rotten/abcessed teeth ongoing pain/infection. alergic to cillian antiobo what drug kill the infection? . this man's teeth have turned black some have fallen out some he has pulled out. he has battled abscess/infection/bad breath for way too long. more than 2 yrs. he is allergic to all the cillian antibiotics such as amoxicillin penicillin. i know that he has to kill the infection before anything else can be done. what antibiotic would be good to consider for people. who can't do the cillians that's strong enough to fight widespread/long term abscess,there are plenty of other effective antibiotics like erythromycin or the cephalosporins (some penicillin allergic people may have a cross-over allergy to this class however). he needs to be under the care of a good dentist now. let the dentist determine the type of treatment and antibiotics. if he has an abscess he needs more than just a prescription for a non-penicillin based antibiotic. dental infections like you are describing need immediate and definitive care.,"['tooth', 'amoxicillin', 'antibiotic', 'penicillin', 'drug']",wmd
can iron pills enlarge a woman's uterous?,no i have never heard of iron pills enlarging a woman's uterus. there are many medical conditions than can cause enlargement however so it would be in her best interest to see a gynecologist for a thorough examination.,"['uterus', 'iron']",wmd
i haven't missed any period. i had my period two times already is it possible to be pregnant? . on december 18th 2015 my partner and i were rubbing our genitals together but he didnt go inside nor did he cum. i had spotting on the 24th it was light red came with cramps and then on the 27th i got my period two days before i was suppose to get it. it was normal came with cramps but it was 6 days usually its 4 or 5. then i got my period on jan. 22. it was around 6 days too. and i got it 2 days earlier too. today i felt nauseous and peed like 4 times. and my stomach feels tight.,i highly doubt that you are pregnant. stress and worry can cause irregular periods. also pre-cum doesn't always carry sperm especially if you partner has urinated since he ejaculated last. you might have had implantation bleeding if you had been pregnant but you certainly wouldn't have had a second period. regarding the peeing four times frequent urination doesn't usually start until the fetus is quite large like the third trimester or so. nausea could come from feeling nervous or a garden variety cold or flu bug.,"['period', 'pregnancy', 'genitalia', 'spotting', 'cramps']",wmd
my mom has kidney failure diabetes sarcoidosis heart failure she now has these big knots why?,most probably these are because of corticosteroids however not the matter of concern.,['sarcoidosis'],qd
how can hair loss be prevented?,hair loss that is caused by medicines stress lack of protein or iron or hair care may be prevented. avoiding certain medicines reducing stress getting adequate protein and iron in your diet and using hairstyles that do not damage your hair may reduce or prevent hair loss. inherited hair loss ( androgenetic alopecia ) cannot be prevented. webmd medical reference from healthwise this information is not intended to replace the advice of a doctor. healthwise disclaims any liability for the decisions you make based on this information. © 1995-2011 healthwise incorporated. healthwise healthwise for every health decision and the healthwise logo are trademarks of healthwise incorporated.,['hair loss'],wmd
hello. i play football and i always end up with a rash on my chin and forehead. anything i can do? . it first starts out red and patchy but then turns brownish greyish. it then peels about every two weeks. i have used slip on covers for my chisntrap and the results do not change. sun exposure also makes it much much darker. any ideas on medications or what i have? someone said it might be a heat rash and there is nothing i can do about it. any ideas?,i used to play football and suffered from this as well. i personally put a little bit of vaseline on my chin and forehead before putting on my helmet. it helped. also if that doesnt work try putting a fungicide on your chin guard and the inside of your helmet. it could be a form of jock itch. you get sweaty in those helmets and they can be a breeding ground for all sorts of things. hope this helps.,"['rash', 'forehead', 'exposure', 'heat rash']",wmd
does a person with genital herpes have to show signs of an outbreak to tranfer ar can it be transfered with no signs,i am not an md but i asked my doctor the same exact question a few years ago. he said herpes is a blood-borne virus that can be transferred at any time and the only sure way to avoid contracting it is to avoid sexual intercourse with someone who is infected.,['genital herpes'],wmd
i am losing eyelashes when i wear waterproof mascara. what can i use to clean my face that won't damage my eyelashes?,it's important to use an eye makeup remover that's specific for waterproof mascara. i am not a big fan of waterproof mascara for that very reason. i think it does coat the eyelashes a little too heavily and can be difficult to remove and sometimes the eyelashes can come out with it. fortunately the eyelash cycle is pretty quick so your hair will grow back very quickly over time really within a matter of a few weeks. but it's uncomfortable if you are using it over a long period of time to keep losing lashes like that. so i would try recommending a water-based mascara except for very special occasions when you really need something longer lasting. then if you have the waterproof mascara look for something that's very specific and take your time. let it sit on your lashes for a little bit longer and then rinse with lukewarm water and then repeat the process without rubbing because it's the rubbing that can physically remove the lashes.,['injury'],wmd
how to avoid recurrence of ectopic pregnancy?,i understand your concern. actually there is no treatment or medicine to prevent ectopic pregnancy. only thing to look for is to avoid using copper-t for contraception as this may increase the chance of ectopic pregnancy in case you conceive. take care to get an early ultrasound as soon as you discover pregnancy next time. also there is high chance of around 10%-15% to get your next pregnancy too as ectopic. no process or medicine is available presently to prevent this condition. for further information consult an obstetrician and gynaecologist online  ,['ectopic pregnancy'],ic
does doxycycline hyclate contain insaids. berathing problems,no. doxycyline is an antibiotic not an nsaid.,['nsaid'],wmd
i have a skin rash that looks like ringworm but isn't. its red and very itchy and spreading everywhere. what can i do? . my breakout started with one bump on my thigh then a day later there were two on my upper body. then all of a sudden the next week my whole upper body was covered in red raised and itchy bumps. i am into my second week with this and it is spreading to my face all over my arms and moving down my legs. i am not in pain but it is hard to deal with being itchy everywhere. i don't have any other symptoms. if there was a way to know what i have? just anything to help thank you.,this sounds like pitariasis rosea. which usually spreads to the trunk of the body. bathe in selson blue,"['arm', 'leg', 'skin', 'thigh', 'rash']",wmd
i've been taking respa-ar for allergies. i can't seem to get it refilled. will it be back on the market soon?,try claritin-d which is located behind the pharmacy counter. i'm not sure if or when respa-ar will be back on the market.,['allergy'],wmd
missed 2 birth control pills on 03/22 and 03/23 because my dog ate them and had sex on 03/31 and he ejaculated inside. let me start by saying that my dog is ok. i came home and my husband had already taken him to the vet. however i am wondering what my odds are of being pregnant? i immediately started my period on 03/24 and it lasted for 4 days (until 03/29) and we just had sex on 03/31 and he ejaculated inside of me. are my chances of being pregnant greatly increased?,hi so did you take the one that day? these pills the dog ate these could have been placebo ones being that time of the month with luck you may just get away with it. but only time will tell till the end of this cycle and see what happens. good luck,"['birth control pill', 'sexual intercourse', 'ejaculation', 'pregnancy']",wmd
i got my first deposhot a week before my cycle is supposed to start when can i stop using protection with my partner?,"remember that the ""protection"" is not just for pregnancy; it is for the prevention of a sexually-transmitted disease. unless you are 100% sure (no 200%) sure of the absolute fidelity of your partner under every concieveable circumstance now and in the past it is best to keep condoms in your routine.",[],wmd
it's been a week since i had sexso i wanted to know if i might be pregnant? . i had sex 4 days in a row a lot of ejaculation. i have tender breast they hurt a lot and i always feel very bloated after i eat when i wake up when i'm asleep and feel wierd. it's been a week so idk,to soon to tell. wait a week before your period is due and take a test.,"['sexual intercourse', 'pregnancy', 'ejaculation', 'tenderness', 'breast']",wmd
is it safe to use medicine while i am pregnant?,there is no clear-cut answer to this question. before you start or stop any medicine it is always best to speak with the doctor who is caring for you while you are pregnant.,"['pregnancy', 'drug']",wmd
i have anterior wall interstitial uterine fibroid i dont want surgery but scared to lose uterus?,hi if you are post menopause then i recommend hormonal replacement to shrink the fibroid if you are premenopause then only option is surgery good luck,['anterior wall interstitial uterine fibroid'],qd
i have been ill for a while and lost quite a bit of muscle and weight suggestions on getting it back and why i hurt? . so i have a thyroid disorder and i had it tested a month ago and still no answer back from anyone. i am feeling a bit better now but i can't seem to gain back the weight or the muscle. specifically on my legs and they hurt quite frequently. my legs were the strongest part before i got sick and they still are pretty strong but i've never had leg pain when i ran or carried things before. and it worries me how thin they are now along with the pain. should i be concerned? suggestions?,be sure to get in touch with your doctor about your leg pain and thyroid  only a healthcare provider can address your medical needs. once you get that worked out you can focus on gaining muscle. make sure you get protein at every meal along with a balanced diet adequate in calories. research shows 25 grams or more of protein at meals helps build muscle. to give you an idea 1 ounce of lean meat has 7 grams. also exercise that includes resistance training is beneficial as long as it's okay with your doctor. after working out consume a snack that contains protein and carbohydrates within a half hour of stopping exercise. more reading. healthy protein sources what to eat before during and after exercise,"['muscle', 'weight', 'pain', 'leg']",wmd
how does finasteride (propecia) work?,"popping a pill to thwart thinning hair may sound too good to be true, but its possible with finasteride (propecia). the drug works by lowering levels of a hormone that shrinks hair follicles, called dihydrotestosterone (dht).",[ Hair Loss ],add
can i use maxalt if i am pregnant?,do not use maxalt if you are pregnant think you might be pregnant are trying to become pregnant or are not using adequate contraception unless you have discussed this with your doctor.,['pregnancy'],wmd
can burning a nerve help relieve nerve pain? . a friend of mine was told burning the nerve can help relieve nerve pain.,"let him do it. sometimes bad experiences help. the answer is no. if you try and ""burn a nerve"" there is a very good chance that the pain will be worse. i have neuropathy and my doctor wanted to do this but stated that it is a 50/50 chance that it would work. my wife is a nurse and she asked about this with doctors she assists at the hospital and they stated the same and also the pain usually returns.","['burn', 'nerve', 'pain']",wmd
how to treat erectile dysfunction with low blood pressure. . i. assume that viagra and cialis would not be recommended because they would lower my blood pressure even more? any ideas? note: my low pressure is just below normal and is stable and with no side effects.,hi been off and found this. how does it effect blood pressure? viagra can slightly lower blood pressure. this is not a problem for most men. but viagra's effect on blood pressure is exaggerated if the viagra is taken with a nitrate drug. nitrates are one of the treatments doctors prescribe for angina. if you take viagra when you are also taking nitrates the combined effect of the viagra and the nitrates can lower your blood pressure to such an extent that it could prove fatal. never take viagra at the same time as taking nitrates. if i have a heart condition can i take it? if you have a heart condition it is important that you discuss this with the doctor before taking viagra. viagra may not be appropriate because of the danger of interacting with the nitrates. but i think your find if your low blood pressure is a naturally occurring thing then taken viagra would not do you any damage unless you was pushing the doses. but have you tried take l-arginine 1000mg and zinc to improve your erections. see if this helps you. good luck,"['erectile dysfunction', 'low blood pressure', 'blood pressure', 'pressure']",wmd
i have kaiser supplement for my medicare. what changes can i expect because of the aca? . my husband is a kidney transplant patient and his anti-rejection drugs are not covered in medicare part b nor d as they are very expensive.,the marketplaces are not for people with medicare. you can search for a new medicare coverage if you wish to make a change by going instead to medicare. gov. open enrollment for medicare is happening now through december 7th.,[],wmd
what is a diagnostic mammogram?,"it can be a follow-up test after a screening mammogram that spotted something unusual. or your doctor might recommend this test without a screening mammogram first if you have symptoms, they would like to check into further. some women only need more mammogram images. other women may need an ultrasound, or a biopsy.",[ Breast Cancer ],add
i have had lumps and white discoloration on my tongue and coughing up blood?,many possibilities could be there. reflux laryngitis is among them. have you ever suffered gastric reflux? is your cough productive? mucus? if the blood is fresh then it is mostly due to dryness and coughing altogether. try gargling with salt warm water. avoid fatty foods. caffeine and chocolate.,['coughing up blood'],qd
am i pregnant? . my boyfriends penis touched my hole but there was no penetration or ejaculation. i might have been ovulating but i don't know. i peed 15 minutes after it and took a shower the next night. i also took a morning-after pill 4 days after it happened and a test that came out negative. could i be pregnant?,hi after all you have done i don't think so it takes full intercourse and ejaculation to get pregnant. but playing around with sex can be very dangerous male sperm goes bang twice once inside you but the second time its not so much a bang but a whaling sound of a baby crying. please think safe sex think condoms or bc but please keep away from depo shot just google depo shot side effects your see why. but please safe sex. good luck,"['pregnancy', 'penis', 'ejaculation', 'ovulation']",wmd
what are antipsychotic medications used to treat?,"antipsychotic medications are used as a short-term treatment for bipolar disorder to control psychotic symptoms such as hallucinations, delusions, or mania symptoms. these symptoms may occur during acute mania or severe depression. some also treat bipolar depression, and several have demonstrated long-term value in preventing future episodes of mania or depression.",[ Bipolar Disorder ],add
does drinking coffee make heartburn worse or can it help? what about popsicles?,actually both foods can contribute to heartburn and may actually make it worse. when treating heartburn we always recommend non-pharmacological methods like avoiding spicy and fatty foods stop smoking and avoid eating at least three hours before bedtime.,"['drinking', 'heartburn', 'coffee']",wmd
what is white matter brain disease. how is white matter brain disease discovered? how is it treated? i am a 58 year old female and have had mri and cat scans. the nuerologist wants to do a lumbar draw for further study and i'm not sure if that is necessary,"i'm sorry you're going through this. certainly a lumbar puncture is nobody's idea of a good time! ""white matter brain disease"" is not a single diagnosis. actually there are several diseases that affect the white matter of the brain. i suspect your neurologist is trying to determine if you have one of those diseases or not. i'd suggest you discuss your concerns about the lumbar draw with your neurologist. ask him why he feels it's necessary and what he is trying to learn from it. ask him if there are other non-invasive tests that could be done instead. don't be afraid to express your fears or concerns with him or her. you are the patient and you deserve to have all your questions answered. i wish you all the best with this!",['brain'],wmd
does a discounted medical (not insurance) count as having insurance?,a discounted medical card does not count as qualified health insurance coverage under the law.,[],wmd
im a stressed out 15 year old girl stomach back killing me with pain?,hi you are almost having a gastrointestinal disorder commonly known as ibs or irritable bowel syndrome it is usually of unknown cause and sometimes stress causes it. there are a lot of things you can do to relive that eat healthy food(fruits vegetables) do not take caffeinated beverages or chocolates or fried foods. do some type of exercises and yoga to reduce your stress. you can take one of the over the counter tablets for ibs i. e coloverin d. regards. please feel free to reply if you have any further questions,['stomach and back pain'],qd
yesterday morning i woke in excruciating pain in my left thigh now cannot move my leg at all?,the quick onset of the problem suggest sustained pressure on your sciatic nerve which is possible if your slim also dvt could cause similar symptoms try first to stand on one leg in warm room for 30 min if that does not work then u should rush to see a vascularity doctor,['yesterday morning i woke in excruciating pain in my left thigh'],qd
large hard mass in the back of my neck is it a sign of lymphoma,do i need a specialist for a biopsy?,[],qd
i have heard that otc cold meds were dangerous for young children and are pulling them off the shelf. is that true?,it has been in the news lately and the reason why is because children were getting multiple different types of medications not intentionally and were exactly following the directions. the parents were kind of like well i need to go to work and i need to get my child to school. so they're giving them all these different types of medicines not realizing that some of them contain the same ingredients. children were becoming very tired they were having different types of reactions and actually some children did end up in the emergency room. the labeling and directions have actually been revised and now most products are not recommended for use in children under four. so as a parent when you come into the pharmacy ask the pharmacist if they can assist you in making sure you're choosing the right product. the pharmacist is going to ask you a lot of questions including what is your child's weight? we are finding out more and more that these medications need to be dosed on the child's weight rather than their age. also when you get a dropper or spoon that comes with the medication you want to keep those together. that spoon was specifically designed for that medication to make sure your child receives the right dose. read the labels. the labels may have tylenol cough and cold but it is going to contain some products other than just tylenol. then you might go to a robitussin type of product which may contain the same thing as well. make sure everyone in the house is aware of what you might be giving your child to help their cough or cold. sometimes we have nannies or grandparents that come over and say oh i'm going to give him some medication. well make sure everyone knows when the last time the medication was given what was given and keep track of it. sometimes also the best medication is no medication at all. we might want it to run its course or it may just require something like a simple nasal drop or running a vaporizer at night. it's as simple as that. but we really want to keep this in mind we want to be safe we want to make sure that parents understand that. there are lot of questions around this topic. ask your pharmacist or the medication experts we'll be more than happy to help you with this.,"['coldness', 'over the counter', 'drug']",wmd
my daughter has blurry vision and some black dots in the corona,hi. blurry vision and the spots may be due to temporary remnants of the infectiona nd the use of eye drops. these usually fade away in about 1 month time. only if the blurry vision deteriorates and vision gets affected badly or if the spots increase then she may need some active management. else presently she just needs lubricating eye drops and also give her oral multivitamin medicines to speed up the recovery. thanks,['blurry vision and some black dots in the corona'],qd
can i give my 5 year old dimetapp cold and cough medicine,as you may have read on the label dimetapp is not to be used in children under age six. thus you should not give it to your child unless your pediatrician tells you it's ok. you may also wish to ask your pharmacist about this. i can think of several situations in which it could be all right to give dimetapp to a five-year-old but i cannot go into them on this public forum. for one thing i know nothing about your child and his/her medical history. your pharmacist however can give you accurate information about whether or not an over-the-counter cough and cold remedy would be appropriate for your child. wishing you well!,"['coldness', 'cough']",wmd
i am 2 years post micro discectomy which cured sciatic and lumber pain my is life slowing up?,hi this is a failed back syndrome. happens in 30 % post operative cases. take physiotherapy in form of traction laser therapy. get another mri done thanks,['micro discectomy which cured sciatic and lumber pain'],qd
would it be to our advantage if we look for a new plan for my adult son? . he is now on cobra and uses all out-of-network doctors who are expensive. he doesn't earn an income and we have been thinking of applying for disability for him. however we're concerned that will affect his ability to try to get a job.,it is probably best to keep your cobra in place but at the same time it is absolutely a good idea to look at your state marketplace check out coverage options available online and see whether there is a more affordable option that covers the doctors he sees. if he has no income you may also want to see whether he qualifies for medicaid coverage in your state. that may also be an option that is more affordable than cobra.,[],wmd
could sciatica be caused by a pinched sciatic nerve during a hysterectomy 30 years ago?,no the surgical area for a hysterectomy is no where near the sciatic nerve or your spine. in the last 30 years since your surgery you most likely developed some degenerative disc disease and/or arthritis that has lead to your sciatica.,"['sciatica', 'hysterectomy']",wmd
how are leg cramps prevented?,here are some simple things you can do:,[ Sleep Disorders ],add
what vitamins help migraines?,vitamin supplements are advised in migraines for its prevention. vitamins like vitamin b6 b12 vitamin c folic acid are proven useful to reduce the severity and frequency of migraine attacks. these supplements also prevent the migraine attacks and improves overall the quality of life.,"['vitamin', 'migraine']",wmd
can i give my 2 yr. old infant pain relief for a fever he just started azithromycin today?,i would definately consult a doctor or pharmacist first,"['fever', 'infant', 'pain relief']",wmd
are there any risks going under general anastesia while taking adderall reguraly? . im going in to have my gullbladder removed and im worried about going under and having complications due to the use of adderall and its effect on the heart.,"it's always nerve-wracking to think about going under anesthesia isn't it? you're wise to think about how your medication might affect the experience. let me set your mind at ease by saying in general your anesthesiologist should not have difficulty providing general anesthesia even though you take adderall. of course ""going under"" always has some risks. however by telling the anesthesia provider what medications you take you're helping him or her make the experience as safe as possible. a few days before your surgery you should have an appointment or phone call with a nurse who will give you instructions regarding what medications to take or stop taking before your surgery. be sure to tell her or him about all the medications you take regularly including vitamins and other supplements. if you don't receive any instructions at least a day or two before your surgery call your surgeon's office. on the day of surgery your anesthesiology provider will meet with you. be sure you again tell him or her about all the medications you take. this will help your anesthesiologist to give you the best care possible. good luck with your surgery!",['heart'],wmd
my grand children were with me this summer should they be checked for h pyloric bacteria,hi what makes you think this? and why? please read this link because i cant see why you would ask this question. the link  good louck,['bacterium'],wmd
ive had this off balance/unsteady feeling in my head doctors are clueless?,hi in my opinion you have cervical spinal cord stenosis i recommend an mri to confirm good luck,"['balance/unsteady feeling in my head', 'doctors are clueless']",qd
what happens if you have type 1 diabetes and epilepsy and become pregnant? how severe are the health risks? . i heard that death during pregnancy is very likely. is this true?,hi put together some links that should help you the first two are from the uks nhs its oput free health service if you live here. #close and type 1 diabetes #close and see if this helps? #v=onepage&q=type%201%20diabetes%20and%20epilepsy%20and%20become%20pregnant&f=false just copy links into google one at a time to the www. to open and read to see if they help you good luck,"['epilepsy', 'pregnancy', 'grief']",wmd
there are so many types of flu shots available. which one is the best?,cdc does not recommend one flu vaccine over another. this includes deciding between trivalent or quadrivalent vaccine or between injection (the flu shot) or nasal spray vaccine. the important thing is to get a flu vaccine every year! getting you flu vaccine regardless of which option you choose can be instrumental in protecting you and your loved ones from flu.,[],wmd
how do i choose an over-the-counter heartburn medication?,this is a great question. when patients come in or consumers and ask me about heartburn as a pharmacist i have to ask them a few questions to find out what kind of heartburn are they having. for instance if they are having heartburn at night they really need to see a physician. i need to find out how frequently they are having their heartburn. if they are having it everyday or is it only one or two times a week? then i need to ask them some questions about their diet because what they may not understand is that diet caffeine acidic foods even smoking could lead to heartburn. then i will look at them and say okay are they taking any other medications? my elderly patients hopefully they have their medication list with them. i will be able to take a look and see what's appropriate for them. there are a variety of different products that are available. if it's just something for quick relief then you could use like an antacid like a maalox or a tums something along those lines. if it's something that maybe needs a little bit more consistency then we can go more towards a pepcid type of product which works a little differently by cutting down on the amount of acid in the stomach. if they complain that they have had it more frequently during the day for a number of days then the choice might be something like prilosec otc which they are going to take for about 14 days. if they come back to the pharmacy after that and the 14 days and it hasn't worked then i am going refer them back to their physician or their healthcare provider for further evaluation.,"['heartburn', 'over the counter', 'drug']",wmd
can african american people get lice?,they can but it isn't as likely that they will. lice like to live in clean oil free hair. since african american's usually have more oil in their hair it isn't as inviting of an environment for the lice to live in.,['lice'],wmd
im 44yrs old and if its safe to have another pregnancy after havin breast cancer chemo pulm embol was diagnose w copd,hi sorry but i think your body has been through enough if baby's are important to you just wait for your grandchildren to come along. good luck,"['pregnancy', 'chemotherapy', 'breast cancer', 'chronic obstructive pulmonary disease']",wmd
i bruch my teeth about 5-6 times a day. is this ok? . i am 54 have good teeth only one cavity. i floss at night i brush after every meal and snacks even if its only 2 bites. i only use a&h peroxicare or adsvanced white. i brush 5-6 times a day. is this ok? i am the only one in 3 generations with good teeth and i want to keep them this way!,you must be doing something right. i see nothing wrong with your very conscientious program of oral hygiene.,[],wmd
found thyroid nodule is cnb the correct method to determine if benign or malignant?,in my opinion you should just wait and reckeck tgab t4 and tsh + ultrasound to check for any size change if size changes even in benign tumour you should remove it good luck,['thyroid nodule benign or malignant'],qd
how is the fifth disease virus spread and should i be isolated if i have fifth disease?,the virus of fifth disease is spread mostly by droplets. this means that when an infected person coughs or sneezes the virus can be spread. however once the rash is present the person is usually no longer infectious and need not be isolated.,"['fifth disease', 'virus']",wmd
do band-aids help wounds heal faster? . big debate today! with lots of conflicting answers! all of the band-aid manufacturers of course say yes yes they do help wounds heal faster! but i am not always quick to believe corporate opinions! can you help!? my coworkers are research analysts. i feel defeated already and the research has just started!,band-aids help keep infection out so in a way yes. keep your wound as clean as possible and it will heal faster.,"['aids', 'wound', 'healing']",wmd
is having a bakers cyct reson to have knee replacement? can a bakers cyct just be removed? a. i'm not a doctor or try to be but my pain is behind my knee and my doctor said it was a baker cyct. i have had the cyct drained and styroids injected about 3 times which feels great for about 2 months. my doctor seams to think i should consider knee replacement. i don't understand why my pain is all on the back of my knee and not in my knee. can you help?,"a baker's cyst can indeed be removed by surgery. in fact that's a typical ""last resort"" step after drainage and steroids haven't solved the problem. a baker's cyst is a fluid-filled sac behind the knee joint. that's why all of your pain is behind your knee rather than in your joint proper. as to why your physician is recommending a knee replacement that's a good question. i'd ask him or her. sometimes an underlying condition like arthritis can cause a baker's cyst to develop. if that's the case in your situation it could be one reason why your doctor would mention a knee replacement as opposed to simply removing the cyst. i'm only mentioning this for informational purposes not in an attempt to read your doctor's mind. i'd suggest you go back to your doctor and find out why he or she is recommending a knee replacement. you may want to consult a surgeon as well to get his or her opinion about what the best treatment option is for you. hope this helps!","['cyst', 'knee', 'injection', 'drainage', 'steroid']",wmd
"i had unprotected sex i took plan b and now i have my ""period"" 2 weeks early and its lighter then usual. am i pregnant? . i've been waking up in the morning not feeling 100 percent i have been drinking more water then usual and i have been more tired. i took plan b about 6 hours after sex and its been about a week since i had the unprotected sex i'm scared i might be pregnant and this isn't my period its just spotting",hi your problem could be from plan b it does tend to through periods off for some time this could be the reason for you having a lighter period. but if your still worried go see your doctor and get a pregnancy test done. hope this helps. good luck,"['period', 'pregnancy', 'drinking', 'fear', 'spotting']",wmd
what are the chances of becoming pregnant while using a contraceptive and no condom?,all 3 of my children have been concieved while having an iud.,"['pregnancy', 'condom']",wmd
what happens if you use expired medication?,medications will work properly when stored in an environment away from light heat and moisture. medications improperly stored can expire before the expiration date. using expired medication is very risky. expired medications are not only less potent but some medications become toxic when used beyond the expiration date. taking expired drugs can cause an unwanted visit to the emergency department as well having an unnecessary medical bill.,[],wmd
